id,سال میلادی,ماه میلادی عدد ,نام ماه میلادی,روز میلادی عدد ,نام روز میلادی ,سال قمری,ماه قمری عدد,نام ماه قمری,روز قمری,روز عربی ,سال شمسی,ماه شمسی,نام ماه شمسی,روز شمسی عدد,روز شمسی,تعطیل,مناسبت
1,2020,3,March,20,Friday,1441,7,محرم,25,الجمعه,1399,1,فروردین,1,جمعه,تعطیل, روز جهانی شادی -  جشن نوروز/جشن سال نو -  روز جهانی شادی
2,2020,3,March,21,Saturday,1441,7,محرم,26,السبت,1399,1,فروردین,2,شنبه,تعطیل,عید نوروز - هجوم مأموران پهلوی به مدرسه فیضیه قم (۱۳۴۲ هـ ش) - آغاز عملیات فتح المبین (۱۳۶۱ هـ ش) - روز جهانی آب
3,2020,3,March,22,Sunday,1441,7,محرم,27,الأحد,1399,1,فروردین,3,یکشنبه,تعطیل,مبعث حضرت رسول اکرم (ص) (۱۳ سال قبل از هجرت) - عید نوروز - روز جهانی هواشناسی
4,2020,3,March,23,Monday,1441,7,محرم,28,الأثنين,1399,1,فروردین,4,دوشنبه,تعطیل,عید  نوروز
5,2020,3,March,24,Tuesday,1441,7,محرم,29,الثلاثاء,1399,1,فروردین,5,سه شنبه,,
6,2020,3,March,25,Wednesday,1441,7,محرم,30,الأربعاء,1399,1,فروردین,6,چهار شنبه,,
7,2020,3,March,26,Thursday,1441,8,شعبان,1,الخميس,1399,1,فروردین,7,پنج شنبه,,روز هنرهای نمایشی
8,2020,3,March,27,Friday,1441,8,شعبان,2,الجمعه,1399,1,فروردین,8,جمعه,تعطیل,
9,2020,3,March,28,Saturday,1441,8,شعبان,3,السبت,1399,1,فروردین,9,شنبه,,ولادت امام حسین (ع) (۴ هـ ق) - روز پاسدار
10,2020,3,March,29,Sunday,1441,8,شعبان,4,الأحد,1399,1,فروردین,10,یکشنبه,,ولادت حضرت ابوالفضل العباس (ع) (۲۶ هـ ق) و روز جانباز
11,2020,3,March,30,Monday,1441,8,شعبان,5,الأثنين,1399,1,فروردین,11,دوشنبه,,ولادت امام زین العابدین (ع) (۳۸ هـ ق)
12,2020,3,March,31,Tuesday,1441,8,شعبان,6,الثلاثاء,1399,1,فروردین,12,سه شنبه,تعطیل,روز جمهوری اسلامی ایران
13,2020,4,April,1,Wednesday,1441,8,شعبان,7,الأربعاء,1399,1,فروردین,13,چهار شنبه,تعطیل,روز طبیعت
14,2020,4,April,2,Thursday,1441,8,شعبان,8,الخميس,1399,1,فروردین,14,پنج شنبه,,
